기준일ID,시간대구분,자치구코드
20210103,9,11590
20210103,9,11620
20210103,9,11650
20210103,9,11680
20210103,9,11710
20210103,9,11740
20210103,10,11110
20210103,10,11140
20210103,10,11170
20210103,10,11200
20210103,10,11215
20210103,10,11230
20210103,10,11260
20210103,10,11290
20210103,10,11305
20210103,10,11320
20210103,10,11350
20210103,10,11380
20210103,10,11410
20210103,10,11440
20210103,10,11470
20210103,10,11500
20210103,10,11530
20210103,10,11545
20210103,10,11560
20210103,10,11590
20210103,10,11620
20210103,10,11650
20210103,10,11680
20210103,10,11710
20210103,10,11740
20210103,11,11110
20210103,11,11140
20210103,11,11170
20210103,11,11200
20210103,11,11215
20210103,11,11230
20210103,11,11260
20210103,11,11290
20210103,11,11305
20210103,11,11320
20210103,11,11350
20210103,11,11380
20210103,11,11410
20210103,11,11440
20210103,11,11470
20210103,11,11500
20210103,11,11530
20210103,11,11545
20210103,11,11560
20210103,11,11590
20210103,11,11620
20210103,11,11650
20210103,11,11680
20210103,11,11710
20210103,11,11740
20210103,12,11110
20210103,12,11140
20210103,12,11170
20210103,12,11200
20210103,12,11215
20210103,12,11230
20210103,12,11260
20210103,12,11290
20210103,12,11305
20210103,12,11320
20210103,12,11350
20210103,12,11380
20210103,12,11410
20210103,12,11440
20210103,12,11470
20210103,12,11500
20210103,12,11530
20210103,12,11545
20210103,12,11560
20210103,12,11590
20210103,12,11620
20210103,12,11650
20210103,12,11680
20210103,12,11710
20210103,12,11740
20210103,13,11110
20210103,13,11140
20210103,13,11170
20210103,13,11200
20210103,13,11215
20210103,13,11230
20210103,13,11260
20210103,13,11290
20210103,13,11305
20210103,13,11320
20210103,13,11350
20210103,13,11380
20210103,13,11410
20210103,13,11440
20210103,13,11470
20210103,13,11500
20210103,13,11530
20210103,13,11545
20210103,13,11560
20210103,13,11590
